EXCHANGE%3DINDEXEURO
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=120
161,3736.82,3736.82,3735.13,3735.13,0
162,3739.53,3739.87,3739.31,3739.87,0
163,3742.62,3742.62,3739.77,3739.77,0
164,3740.76,3740.87,3740.68,3740.68,0
165,3739.6,3739.6,3737.62,3738.14,0
166,3740.24,3741.08,3740.24,3741.04,0
167,3740.33,3740.41,3740.13,3740.13,0
168,3740.12,3740.12,3739.97,3740.02,0
169,3739.84,3740.13,3739.84,3740.09,0
170,3739.9,3739.9,3739.67,3739.67,0
171,3739.66,3739.66,3738.84,3738.84,0
172,3738.62,3739.85,3738.62,3739.71,0
173,3741.3,3741.3,3738.48,3738.48,0
174,3741.08,3741.25,3741.08,3741.2,0
175,3738.76,3739.53,3738.76,3739.53,0
176,3737.46,3738.63,3737.46,3738.63,0
177,3737.88,3737.96,3737.37,3737.37,0
178,3739.08,3739.08,3737.99,3737.99,0
179,3738.96,3738.96,3738.6,3738.77,0
180,3738.28,3738.28,3737.95,3737.99,0
181,3738.78,3738.78,3738.36,3738.36,0
182,3741.38,3741.38,3739.43,3739.44,0
183,3741.89,3742.86,3741.44,3741.44,0
184,3741.59,3741.91,3741.47,3741.91,0
185,3742.19,3742.19,3741.89,3741.89,0
186,3744.05,3744.05,3742.12,3742.12,0
187,3745.09,3745.09,3744.12,3744.12,0
188,3749.05,3749.8,3749.05,3749.8,0
189,3748.23,3750.15,3748.12,3749.59,0
190,3750.52,3750.52,3748.39,3748.39,0
191,3749.99,3750.59,3749.99,3750.59,0
192,3751.19,3751.19,3749.89,3750.09,0
193,3753.82,3753.82,3752.2,3752.2,0
194,3754.8,3755.55,3754.8,3755.21,0
195,3753.37,3754.38,3753.23,3754.38,0
196,3753.83,3753.83,3753.49,3753.5,0
197,3752.61,3753.9,3752.61,3753.9,0
198,3751.2,3752.74,3751.2,3752.22,0
199,3750.8,3751.05,3750.8,3751.05,0
200,3750.43,3750.67,3750.43,3750.54,0
201,3750.92,3750.92,3750.38,3750.38,0
202,3750.38,3750.89,3750.38,3750.89,0
203,3748.88,3750.41,3748.75,3750.41,0
204,3748.28,3748.73,3748.28,3748.73,0
205,3748.63,3748.63,3748.51,3748.59,0
206,3747.78,3748.67,3747.74,3748.67,0
207,3747.57,3747.98,3747.57,3747.85,0
208,3747.48,3748.48,3747.48,3747.51,0
209,3748.46,3748.59,3747.43,3747.43,0
210,3748.46,3748.67,3748.46,3748.57,0
211,3748.09,3748.44,3748.09,3748.37,0
212,3747.09,3747.61,3747.09,3747.61,0
213,3745.88,3747.45,3745.88,3747.1,0
214,3745.16,3745.79,3745.16,3745.79,0
215,3744.97,3745.36,3744.91,3745.28,0
216,3744.89,3744.9,3743.8,3743.8,0
217,3745.13,3745.45,3744.91,3744.91,0
218,3745.6,3745.6,3745.06,3745.06,0
219,3747.71,3748.07,3746.9,3746.9,0
220,3748.05,3748.12,3747.78,3747.78,0
221,3748.74,3748.8,3748.21,3748.21,0
222,3747.85,3748.5,3747.61,3748.5,0
223,3746.41,3747.86,3746.41,3747.86,0
224,3746.21,3746.58,3746.21,3746.49,0
225,3746.93,3746.97,3746.82,3746.82,0
226,3746.38,3746.38,3746.03,3746.23,0
227,3747.74,3747.74,3746.48,3746.48,0
228,3747.37,3747.73,3747.37,3747.47,0
229,3747.33,3747.33,3746.69,3746.69,0
230,3745.57,3746.18,3745.57,3746.18,0
231,3742.73,3742.73,3741.79,3741.88,0
232,3742.58,3743.59,3742.55,3742.55,0
233,3741.76,3742.54,3741.76,3742.54,0
234,3739.79,3741.22,3738.47,3741.22,0
235,3740.38,3740.48,3740.23,3740.23,0
236,3741.47,3741.47,3740.05,3740.05,0
237,3742.79,3742.79,3742.17,3742.17,0
238,3745.74,3745.79,3743.4,3743.4,0
239,3746.95,3746.95,3744.58,3744.58,0
240,3747.51,3747.51,3746.75,3746.76,0
241,3747.12,3747.69,3746.83,3747.59,0
242,3747.1,3747.5,3747.1,3747.2,0
243,3746.03,3746.1,3745.14,3745.18,0
244,3745.98,3745.98,3745.71,3745.82,0
245,3746.38,3746.38,3744.59,3744.98,0
246,3746.92,3746.92,3746.44,3746.44,0
247,3748.95,3748.95,3747.59,3747.59,0
248,3749.13,3749.16,3748.96,3748.96,0
249,3750.14,3750.14,3749.59,3749.59,0
250,3751.21,3751.21,3749.97,3750.15,0
251,3749.61,3751.14,3749.61,3751.14,0
252,3752.06,3752.08,3750.58,3750.58,0
253,3749.81,3751.1,3749.81,3751.1,0
254,3746.14,3749.49,3746.14,3749.38,0
255,3746.87,3747.04,3746.68,3746.68,0
256,3747.25,3747.78,3747.25,3747.78,0
257,3744.96,3746.28,3744.46,3746.28,0
258,3746.22,3746.22,3745.82,3745.82,0
259,3745.34,3745.97,3745.34,3745.97,0
260,3748.77,3748.77,3745.36,3745.36,0
261,3748.54,3748.73,3748.54,3748.69,0
262,3747.72,3747.82,3747.49,3747.49,0
263,3747.7,3747.7,3746.35,3746.96,0
264,3744.47,3747.68,3744.47,3747.68,0
265,3744.95,3744.97,3744.74,3744.74,0
266,3745.13,3745.21,3745.13,3745.21,0
267,3745.22,3745.22,3745.03,3745.21,0
268,3747.62,3748.21,3746.61,3746.61,0
269,3747.72,3747.72,3747.49,3747.49,0
270,3747.05,3747.39,3747.01,3747.39,0
271,3745,3747.22,3744.38,3747.22,0
272,3744.76,3744.97,3744.74,3744.97,0
273,3744.23,3744.45,3744.23,3744.45,0
274,3741.45,3743.81,3741.45,3743.81,0
275,3743.81,3743.94,3741.74,3741.74,0
276,3743.25,3743.25,3742.89,3742.89,0
277,3743.76,3743.76,3743.49,3743.49,0
278,3746.61,3746.61,3746.01,3746.01,0
279,3747.15,3747.42,3746.56,3746.56,0
280,3743.87,3747.15,3743.87,3747.15,0
281,3745.27,3745.27,3744.09,3744.09,0
282,3745.11,3745.11,3743.95,3744.58,0
283,3745.09,3745.09,3744.74,3744.74,0
284,3746.8,3746.8,3745.1,3745.1,0
285,3745.71,3746.06,3745.71,3746.06,0
